entity,CM,ARR,CHD,VD,IHD,CCD,VOO,OTH
Q9BXP5,8.946602098532526e-07,1.4016279519918746e-05,0.0,0.0,0.0,0.0,0.0,0.0
Q13363,0.0,0.0,1.9276560162073912e-06,0.0,0.0,0.0,0.0,0.0
Q9UBS5,2.2611320384174303e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P05231,0.04358044824786315,0.0345002765092852,0.0034283436891725696,0.0059127547751540175,0.07602812724870847,0.004982503597830857,0.006652072912922441,0.028432772072520016
P43403,2.834806120285799e-06,0.0,0.0,0.0,2.2941462736532803e-06,0.0,0.0,0.0
Q53FZ2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3901089763088612e-06
P11215,5.251406503275625e-05,7.4091539113088235e-06,0.0,3.2409045807056126e-06,3.659868188689014e-05,0.0,0.0,0.0
Q9BY32,2.6639228167635444e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.1344094706184554e-05
P15408,8.946477217202863e-07,0.0,0.0,0.0,1.9286930679954613e-05,0.0,0.0,0.0
Q14164,0.0,0.0,0.0,0.0,7.24035695905998e-07,0.0,0.0,1.2886105579000893e-05
Q12778,0.0014010178392910735,0.0,5.075511577701346e-05,4.710797227161883e-05,0.0015598246088790704,0.0,5.6303353679058974e-05,0.00041519811642579606
P29622,4.488853455338828e-06,1.4002945798708788e-05,0.0,0.0,0.0002270202478104279,0.0,0.0,1.3191735731740328e-05
Q9UGL1,0.0,0.0,9.677876429362563e-06,0.0,7.240343755363519e-07,0.0,0.0,0.0
Q9Y5B0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013110961767262322
P63027,8.947387663989696e-07,0.0,0.0,0.0,7.240862623168766e-07,0.0,0.0,0.0
O14763,4.349268684585829e-05,2.8025140241487324e-05,6.1007329859020355e-06,0.0,7.347126180760887e-05,0.0,0.0,0.0
P18428,0.0,0.0,0.0,0.0,7.240967405609942e-07,0.0,0.0,0.0
Q6Q788,0.0,0.0,0.0,1.6126487310953662e-05,0.003789558531813039,0.0,4.732412454695514e-05,0.0
Q13114,0.0004633712395471196,0.0,0.0,0.0,0.0002740434880334458,0.0,0.0,0.0004911966226294324
P01133,0.000947237268614841,0.001009256933697669,0.0021466488766095143,1.5849072623511158e-05,0.00323605866590486,7.087350896771448e-06,0.0,0.0031474544956302613
P40145,9.97471327934654e-05,0.0,6.101176326720647e-06,0.0,0.0,0.0,0.0,8.263140134580799e-05
O95025,0.0,0.0,3.233540835832924e-05,0.0,0.0,0.0,0.0,0.0
Q96IX5,0.0,0.0,0.0,0.0,7.240967405609942e-07,0.0,0.0,0.0
O94986,0.0,0.0,6.105454296074321e-06,0.0,0.0,0.0,0.0,0.0
P57105,0.0,0.0,6.105454296074321e-06,0.0,0.0,0.0,0.0,0.0
Q9HC21,0.0,2.3407888281598553e-06,1.9275279587701323e-06,0.0,7.240376304322955e-07,0.0,0.0,1.3900081865970097e-06
P28347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3901089763088612e-06
O75380,8.947494926581655e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q99873,0.00014980635498558508,0.0,0.0,0.0,7.233540465885911e-07,0.0,0.0,9.564156411093039e-05
Q92851,1.0727043763438615e-05,0.0,0.0,3.242204590481742e-06,3.6359463773860833e-06,0.0,0.0,0.0
Q7Z3B3,0.0,0.0,1.9276560162073912e-06,0.0,0.0,0.0,0.0,0.0
Q13469,2.832091377080254e-06,0.00013837210922502765,0.0,0.0,0.0,0.0,0.0,0.00010694308981346134
Q9H4L4,4.493381292189467e-06,0.0,0.0,0.0,7.240635399146097e-07,0.0,0.0,0.0
Q96CC6,5.363144032906711e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P03956,0.0029545607594339556,0.0005695058059700545,0.0008159155876045783,0.0021909084978246054,0.003336044357532574,7.034187394178237e-06,0.0006951334798489465,0.002124776502220547
Q9H2X6,5.8054329172079016e-05,0.0,3.2318221739881784e-05,0.0,7.451098285883818e-05,0.0,0.0,0.0
Q6YN16,8.947494926581655e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P46108,0.06160622039040132,0.0024145461366582186,0.0019953709274801393,0.01195835949392952,0.04215540475809114,2.5584660880898527e-05,0.009601988011843348,0.05422149634595135
P15924,0.0008713824904398685,0.00017610513168521852,0.0004978633222019479,0.0,0.0,8.643778735968595e-05,0.0,0.00021899197957850396
